IDENTIFIER,GRAMMAR_PATTERN,CONTEXT
pay_back total disk space,V NM NM N,CLASS
pay_off total disk space,V NM NM N,CLASS
fix total disk space,V NM NM N,CLASS
make total disk space,V NM NM N,CLASS
induce total disk space,V NM NM N,CLASS
stimulate total disk space,V NM NM N,CLASS
cause total disk space,V NM NM N,CLASS
catch total disk space,V NM NM N,CLASS
capture total disk space,V NM NM N,CLASS
grow total disk space,V NM NM N,CLASS
develop total disk space,V NM NM N,CLASS
produce total disk space,V NM NM N,CLASS
contract total disk space,V NM NM N,CLASS
take total disk space,V NM NM N,CLASS
drive total disk space,V NM NM N,CLASS
aim total disk space,V NM NM N,CLASS
arrest total disk space,V NM NM N,CLASS
scram total disk space,V NM NM N,CLASS
buzz_off total disk space,V NM NM N,CLASS
fuck_off total disk space,V NM NM N,CLASS
bugger_off total disk space,V NM NM N,CLASS
get_under_one's_skin total disk space,V NM NM N,CLASS
draw total disk space,V NM NM N,CLASS
perplex total disk space,V NM NM N,CLASS
vex total disk space,V NM NM N,CLASS
stick total disk space,V NM NM N,CLASS
puzzle total disk space,V NM NM N,CLASS
mystify total disk space,V NM NM N,CLASS
baffle total disk space,V NM NM N,CLASS
beat total disk space,V NM NM N,CLASS
pose total disk space,V NM NM N,CLASS
bewilder total disk space,V NM NM N,CLASS
flummox total disk space,V NM NM N,CLASS
stupefy total disk space,V NM NM N,CLASS
nonplus total disk space,V NM NM N,CLASS
gravel total disk space,V NM NM N,CLASS
amaze total disk space,V NM NM N,CLASS
dumbfound total disk space,V NM NM N,CLASS
get_down total disk space,V NM NM N,CLASS
begin total disk space,V NM NM N,CLASS
start_out total disk space,V NM NM N,CLASS
start total disk space,V NM NM N,CLASS
set_about total disk space,V NM NM N,CLASS
set_out total disk space,V NM NM N,CLASS
commence total disk space,V NM NM N,CLASS
suffer total disk space,V NM NM N,CLASS
sustain total disk space,V NM NM N,CLASS
beget total disk space,V NM NM N,CLASS
engender total disk space,V NM NM N,CLASS
father total disk space,V NM NM N,CLASS
mother total disk space,V NM NM N,CLASS
sire total disk space,V NM NM N,CLASS
generate total disk space,V NM NM N,CLASS
bring_forth total disk space,V NM NM N,CLASS
get total disc space,V NM NM N,CLASS
get total saucer space,V NM NM N,CLASS
get total phonograph_record space,V NM NM N,CLASS
get total phonograph_recording space,V NM NM N,CLASS
get total record space,V NM NM N,CLASS
get total platter space,V NM NM N,CLASS
get total magnetic_disk space,V NM NM N,CLASS
get total magnetic_disc space,V NM NM N,CLASS
zero airplane res,NM NM N,ATTRIBUTE
zero aeroplane res,NM NM N,ATTRIBUTE
zero sheet res,NM NM N,ATTRIBUTE
zero planer res,NM NM N,ATTRIBUTE
zero planing_machine res,NM NM N,ATTRIBUTE
zero carpenter's_plane res,NM NM N,ATTRIBUTE
zero woodworking_plane res,NM NM N,ATTRIBUTE
nothing plane res,NM NM N,ATTRIBUTE
nil plane res,NM NM N,ATTRIBUTE
nix plane res,NM NM N,ATTRIBUTE
nada plane res,NM NM N,ATTRIBUTE
null plane res,NM NM N,ATTRIBUTE
aught plane res,NM NM N,ATTRIBUTE
cipher plane res,NM NM N,ATTRIBUTE
cypher plane res,NM NM N,ATTRIBUTE
goose_egg plane res,NM NM N,ATTRIBUTE
naught plane res,NM NM N,ATTRIBUTE
zilch plane res,NM NM N,ATTRIBUTE
zip plane res,NM NM N,ATTRIBUTE
zippo plane res,NM NM N,ATTRIBUTE
0 plane res,NM NM N,ATTRIBUTE
nought plane res,NM NM N,ATTRIBUTE
zero_point plane res,NM NM N,ATTRIBUTE
zero plane RES,NM NM N,ATTRIBUTE
bitmap information size,NM NM N,ATTRIBUTE
electronic_image data size,NM NM N,ATTRIBUTE
bitmap data sizing,NM NM N,ATTRIBUTE
bitmap data size_of_it,NM NM N,ATTRIBUTE
relation contrast,NM N,PARAMETER
congener contrast,NM N,PARAMETER
congenator contrast,NM N,PARAMETER
congeneric contrast,NM N,PARAMETER
relative direct_contrast,NM N,PARAMETER
relative line,NM N,PARAMETER
relative dividing_line,NM N,PARAMETER
relative demarcation,NM N,PARAMETER
ten distance,NM N,DECLARATION
10 distance,NM N,DECLARATION
X distance,NM N,DECLARATION
tenner distance,NM N,DECLARATION
decade distance,NM N,DECLARATION
ex distance,NM N,DECLARATION
Adam distance,NM N,DECLARATION
ecstasy distance,NM N,DECLARATION
XTC distance,NM N,DECLARATION
go distance,NM N,DECLARATION
disco_biscuit distance,NM N,DECLARATION
cristal distance,NM N,DECLARATION
hug_drug distance,NM N,DECLARATION
x length,NM N,DECLARATION
x space,NM N,DECLARATION
hoard entity,NM N,DECLARATION
stash entity,NM N,DECLARATION
memory_cache entity,NM N,DECLARATION
lower_limit supported version,NM NM N,CLASS
minimum supported variant,NM NM N,CLASS
minimum supported variation,NM NM N,CLASS
minimum supported edition,NM NM N,CLASS
minimum supported adaptation,NM NM N,CLASS
minimum supported translation,NM NM N,CLASS
minimum supported interlingual_rendition,NM NM N,CLASS
minimum supported rendering,NM NM N,CLASS
minimum supported interpretation,NM NM N,CLASS
minimum supported reading,NM NM N,CLASS
acquire artificial op prec rule,V NM NM NM N,FUNCTION
become artificial op prec rule,V NM NM NM N,FUNCTION
go artificial op prec rule,V NM NM NM N,FUNCTION
let artificial op prec rule,V NM NM NM N,FUNCTION
have artificial op prec rule,V NM NM NM N,FUNCTION
receive artificial op prec rule,V NM NM NM N,FUNCTION
find artificial op prec rule,V NM NM NM N,FUNCTION
obtain artificial op prec rule,V NM NM NM N,FUNCTION
incur artificial op prec rule,V NM NM NM N,FUNCTION
arrive artificial op prec rule,V NM NM NM N,FUNCTION
come artificial op prec rule,V NM NM NM N,FUNCTION
bring artificial op prec rule,V NM NM NM N,FUNCTION
convey artificial op prec rule,V NM NM NM N,FUNCTION
fetch artificial op prec rule,V NM NM NM N,FUNCTION
experience artificial op prec rule,V NM NM NM N,FUNCTION
pay_back artificial op prec rule,V NM NM NM N,FUNCTION
pay_off artificial op prec rule,V NM NM NM N,FUNCTION
fix artificial op prec rule,V NM NM NM N,FUNCTION
make artificial op prec rule,V NM NM NM N,FUNCTION
induce artificial op prec rule,V NM NM NM N,FUNCTION
stimulate artificial op prec rule,V NM NM NM N,FUNCTION
cause artificial op prec rule,V NM NM NM N,FUNCTION
catch artificial op prec rule,V NM NM NM N,FUNCTION
capture artificial op prec rule,V NM NM NM N,FUNCTION
grow artificial op prec rule,V NM NM NM N,FUNCTION
develop artificial op prec rule,V NM NM NM N,FUNCTION
produce artificial op prec rule,V NM NM NM N,FUNCTION
contract artificial op prec rule,V NM NM NM N,FUNCTION
take artificial op prec rule,V NM NM NM N,FUNCTION
drive artificial op prec rule,V NM NM NM N,FUNCTION
aim artificial op prec rule,V NM NM NM N,FUNCTION
arrest artificial op prec rule,V NM NM NM N,FUNCTION
scram artificial op prec rule,V NM NM NM N,FUNCTION
buzz_off artificial op prec rule,V NM NM NM N,FUNCTION
fuck_off artificial op prec rule,V NM NM NM N,FUNCTION
bugger_off artificial op prec rule,V NM NM NM N,FUNCTION
get_under_one's_skin artificial op prec rule,V NM NM NM N,FUNCTION
draw artificial op prec rule,V NM NM NM N,FUNCTION
perplex artificial op prec rule,V NM NM NM N,FUNCTION
vex artificial op prec rule,V NM NM NM N,FUNCTION
stick artificial op prec rule,V NM NM NM N,FUNCTION
puzzle artificial op prec rule,V NM NM NM N,FUNCTION
mystify artificial op prec rule,V NM NM NM N,FUNCTION
baffle artificial op prec rule,V NM NM NM N,FUNCTION
beat artificial op prec rule,V NM NM NM N,FUNCTION
pose artificial op prec rule,V NM NM NM N,FUNCTION
bewilder artificial op prec rule,V NM NM NM N,FUNCTION
flummox artificial op prec rule,V NM NM NM N,FUNCTION
stupefy artificial op prec rule,V NM NM NM N,FUNCTION
nonplus artificial op prec rule,V NM NM NM N,FUNCTION
gravel artificial op prec rule,V NM NM NM N,FUNCTION
amaze artificial op prec rule,V NM NM NM N,FUNCTION
dumbfound artificial op prec rule,V NM NM NM N,FUNCTION
get_down artificial op prec rule,V NM NM NM N,FUNCTION
begin artificial op prec rule,V NM NM NM N,FUNCTION
start_out artificial op prec rule,V NM NM NM N,FUNCTION
start artificial op prec rule,V NM NM NM N,FUNCTION
set_about artificial op prec rule,V NM NM NM N,FUNCTION
set_out artificial op prec rule,V NM NM NM N,FUNCTION
commence artificial op prec rule,V NM NM NM N,FUNCTION
suffer artificial op prec rule,V NM NM NM N,FUNCTION
sustain artificial op prec rule,V NM NM NM N,FUNCTION
beget artificial op prec rule,V NM NM NM N,FUNCTION
engender artificial op prec rule,V NM NM NM N,FUNCTION
father artificial op prec rule,V NM NM NM N,FUNCTION
mother artificial op prec rule,V NM NM NM N,FUNCTION
sire artificial op prec rule,V NM NM NM N,FUNCTION
generate artificial op prec rule,V NM NM NM N,FUNCTION
bring_forth artificial op prec rule,V NM NM NM N,FUNCTION
get artificial op prec regulation,V NM NM NM N,FUNCTION
get artificial op prec convention,V NM NM NM N,FUNCTION
get artificial op prec normal,V NM NM NM N,FUNCTION
get artificial op prec pattern,V NM NM NM N,FUNCTION
get artificial op prec formula,V NM NM NM N,FUNCTION
get artificial op prec prescript,V NM NM NM N,FUNCTION
get artificial op prec linguistic_rule,V NM NM NM N,FUNCTION
get artificial op prec principle,V NM NM NM N,FUNCTION
get artificial op prec dominion,V NM NM NM N,FUNCTION
get artificial op prec ruler,V NM NM NM N,FUNCTION
actual counting,NM N,ATTRIBUTE
actual numeration,NM N,ATTRIBUTE
actual enumeration,NM N,ATTRIBUTE
actual reckoning,NM N,ATTRIBUTE
actual tally,NM N,ATTRIBUTE
ko subdivision end private,PRE NM N NM,CLASS
ko segment end private,PRE NM N NM,CLASS
ko part end private,PRE NM N NM,CLASS
ko division end private,PRE NM N NM,CLASS
ko plane_section end private,PRE NM N NM,CLASS
ko discussion_section end private,PRE NM N NM,CLASS
ko department end private,PRE NM N NM,CLASS
ko incision end private,PRE NM N NM,CLASS
ko surgical_incision end private,PRE NM N NM,CLASS
ko section terminal private,PRE NM N NM,CLASS
ko section ending private,PRE NM N NM,CLASS
ko section last private,PRE NM N NM,CLASS
ko section final_stage private,PRE NM N NM,CLASS
ko section goal private,PRE NM N NM,CLASS
ko section destruction private,PRE NM N NM,CLASS
ko section death private,PRE NM N NM,CLASS
ko section conclusion private,PRE NM N NM,CLASS
ko section close private,PRE NM N NM,CLASS
ko section closing private,PRE NM N NM,CLASS
ko section remainder private,PRE NM N NM,CLASS
ko section remnant private,PRE NM N NM,CLASS
ko section oddment private,PRE NM N NM,CLASS
ko section end buck_private,PRE NM N NM,CLASS
ko section end common_soldier,PRE NM N NM,CLASS
compare opposite and forward dynamics,V NM CJ NM NPL,FUNCTION
liken inverse and forward dynamics,V NM CJ NM NPL,FUNCTION
equate inverse and forward dynamics,V NM CJ NM NPL,FUNCTION
transform unique Idaho,NM NM N,DECLARATION
transform unique Gem_State,NM NM N,DECLARATION
transform unique ID,NM NM N,DECLARATION
transform unique I.D.,NM NM N,DECLARATION
opposite dynamics example,NM NM N,CLASS
inverse kinetics example,NM NM N,CLASS
inverse dynamics illustration,NM NM N,CLASS
inverse dynamics instance,NM NM N,CLASS
inverse dynamics representative,NM NM N,CLASS
inverse dynamics model,NM NM N,CLASS
inverse dynamics exemplar,NM NM N,CLASS
inverse dynamics good_example,NM NM N,CLASS
inverse dynamics deterrent_example,NM NM N,CLASS
inverse dynamics lesson,NM NM N,CLASS
inverse dynamics object_lesson,NM NM N,CLASS
inverse dynamics case,NM NM N,CLASS
inverse dynamics exercise,NM NM N,CLASS
num active_agent tris,NM NM NPL,ATTRIBUTE
num active_voice tris,NM NM NPL,ATTRIBUTE
bibliography character,NM N,PARAMETER
bibliography eccentric,NM N,PARAMETER
bibliography case,NM N,PARAMETER
find strictness,V N,FUNCTION
find_out strictness,V N,FUNCTION
ascertain strictness,V N,FUNCTION
shape strictness,V N,FUNCTION
mold strictness,V N,FUNCTION
influence strictness,V N,FUNCTION
regulate strictness,V N,FUNCTION
set strictness,V N,FUNCTION
specify strictness,V N,FUNCTION
define strictness,V N,FUNCTION
fix strictness,V N,FUNCTION
limit strictness,V N,FUNCTION
decide strictness,V N,FUNCTION
make_up_one's_mind strictness,V N,FUNCTION
settle strictness,V N,FUNCTION
square_off strictness,V N,FUNCTION
square_up strictness,V N,FUNCTION
check strictness,V N,FUNCTION
see strictness,V N,FUNCTION
watch strictness,V N,FUNCTION
learn strictness,V N,FUNCTION
determine sternness,V N,FUNCTION
future active doctor,NM NM N,DECLARATION
future active physician,NM NM N,DECLARATION
future active MD,NM NM N,DECLARATION
future active Dr.,NM NM N,DECLARATION
future active medico,NM NM N,DECLARATION
future active Department_of_Commerce,NM NM N,DECLARATION
future active Commerce_Department,NM NM N,DECLARATION
future active Commerce,NM NM N,DECLARATION
future active DoC,NM NM N,DECLARATION
hereafter active doc,NM NM N,DECLARATION
futurity active doc,NM NM N,DECLARATION
time_to_come active doc,NM NM N,DECLARATION
future_tense active doc,NM NM N,DECLARATION
future active_agent doc,NM NM N,DECLARATION
future active_voice doc,NM NM N,DECLARATION
core_group,N,ATTRIBUTE
kernel,N,ATTRIBUTE
substance,N,ATTRIBUTE
center,N,ATTRIBUTE
centre,N,ATTRIBUTE
essence,N,ATTRIBUTE
gist,N,ATTRIBUTE
heart,N,ATTRIBUTE
heart_and_soul,N,ATTRIBUTE
marrow,N,ATTRIBUTE
meat,N,ATTRIBUTE
nub,N,ATTRIBUTE
pith,N,ATTRIBUTE
sum,N,ATTRIBUTE
nitty-gritty,N,ATTRIBUTE
Congress_of_Racial_Equality,N,ATTRIBUTE
CORE,N,ATTRIBUTE
effect,N,ATTRIBUTE
burden,N,ATTRIBUTE
magnetic_core,N,ATTRIBUTE
salvage dual cells,V NM NPL,PARAMETER
salve dual cells,V NM NPL,PARAMETER
relieve dual cells,V NM NPL,PARAMETER
preserve dual cells,V NM NPL,PARAMETER
carry_through dual cells,V NM NPL,PARAMETER
pull_through dual cells,V NM NPL,PARAMETER
bring_through dual cells,V NM NPL,PARAMETER
lay_aside dual cells,V NM NPL,PARAMETER
save_up dual cells,V NM NPL,PARAMETER
make_unnecessary dual cells,V NM NPL,PARAMETER
deliver dual cells,V NM NPL,PARAMETER
redeem dual cells,V NM NPL,PARAMETER
spare dual cells,V NM NPL,PARAMETER
economize dual cells,V NM NPL,PARAMETER
economise dual cells,V NM NPL,PARAMETER
keep_open dual cells,V NM NPL,PARAMETER
hold_open dual cells,V NM NPL,PARAMETER
keep dual cells,V NM NPL,PARAMETER
write dual cells,V NM NPL,PARAMETER
foundation transform,NM N,DECLARATION
fundament transform,NM N,DECLARATION
foot transform,NM N,DECLARATION
groundwork transform,NM N,DECLARATION
substructure transform,NM N,DECLARATION
understructure transform,NM N,DECLARATION
bag transform,NM N,DECLARATION
floor transform,NM N,DECLARATION
cornerstone transform,NM N,DECLARATION
pedestal transform,NM N,DECLARATION
stand transform,NM N,DECLARATION
nucleotide transform,NM N,DECLARATION
alkali transform,NM N,DECLARATION
radix transform,NM N,DECLARATION
home transform,NM N,DECLARATION
al-Qaeda transform,NM N,DECLARATION
Qaeda transform,NM N,DECLARATION
al-Qa'ida transform,NM N,DECLARATION
al-Qaida transform,NM N,DECLARATION
Base transform,NM N,DECLARATION
root transform,NM N,DECLARATION
root_word transform,NM N,DECLARATION
stem transform,NM N,DECLARATION
theme transform,NM N,DECLARATION
radical transform,NM N,DECLARATION
infrastructure transform,NM N,DECLARATION
reaction handlers,NM NPL,CLASS
answer handlers,NM NPL,CLASS
reply handlers,NM NPL,CLASS
reception handlers,NM NPL,CLASS
items per sec,NPL P N,DECLARATION
items per moment,NPL P N,DECLARATION
items per mo,NPL P N,DECLARATION
items per minute,NPL P N,DECLARATION
items per bit,NPL P N,DECLARATION
items per second_base,NPL P N,DECLARATION
items per instant,NPL P N,DECLARATION
items per arcsecond,NPL P N,DECLARATION
items per secondment,NPL P N,DECLARATION
items per endorsement,NPL P N,DECLARATION
items per indorsement,NPL P N,DECLARATION
items per second_gear,NPL P N,DECLARATION
items per irregular,NPL P N,DECLARATION
glew render manner,PRE NM N,ATTRIBUTE
glew render style,PRE NM N,ATTRIBUTE
glew render way,PRE NM N,ATTRIBUTE
glew render fashion,PRE NM N,ATTRIBUTE
glew render modality,PRE NM N,ATTRIBUTE
glew render mood,PRE NM N,ATTRIBUTE
glew render musical_mode,PRE NM N,ATTRIBUTE
glew render modal_value,PRE NM N,ATTRIBUTE
imitate gc,V N,FUNCTION
copy gc,V N,FUNCTION
model gc,V N,FUNCTION
assume gc,V N,FUNCTION
sham gc,V N,FUNCTION
feign gc,V N,FUNCTION
simulate gigahertz,V N,FUNCTION
simulate GHz,V N,FUNCTION
simulate gigacycle_per_second,V N,FUNCTION
simulate gigacycle,V N,FUNCTION
simulate Gc,V N,FUNCTION
computer_address type ipv4,NM NM N,ATTRIBUTE
name_and_address type ipv4,NM NM N,ATTRIBUTE
address character ipv4,NM NM N,ATTRIBUTE
address eccentric ipv4,NM NM N,ATTRIBUTE
address case ipv4,NM NM N,ATTRIBUTE
rule fellow_member validator,NM NM N,CLASS
rule extremity validator,NM NM N,CLASS
rule appendage validator,NM NM N,CLASS
regulation member validator,NM NM N,CLASS
convention member validator,NM NM N,CLASS
normal member validator,NM NM N,CLASS
pattern member validator,NM NM N,CLASS
formula member validator,NM NM N,CLASS
prescript member validator,NM NM N,CLASS
linguistic_rule member validator,NM NM N,CLASS
principle member validator,NM NM N,CLASS
dominion member validator,NM NM N,CLASS
ruler member validator,NM NM N,CLASS
keep facet,V N,ATTRIBUTE
keep view,V N,ATTRIBUTE
keep prospect,V N,ATTRIBUTE
keep scene,V N,ATTRIBUTE
keep vista,V N,ATTRIBUTE
keep panorama,V N,ATTRIBUTE
keep expression,V N,ATTRIBUTE
keep look,V N,ATTRIBUTE
keep facial_expression,V N,ATTRIBUTE
keep face,V N,ATTRIBUTE
maintain aspect,V N,ATTRIBUTE
hold aspect,V N,ATTRIBUTE
continue aspect,V N,ATTRIBUTE
go_on aspect,V N,ATTRIBUTE
proceed aspect,V N,ATTRIBUTE
go_along aspect,V N,ATTRIBUTE
hold_on aspect,V N,ATTRIBUTE
prevent aspect,V N,ATTRIBUTE
observe aspect,V N,ATTRIBUTE
retain aspect,V N,ATTRIBUTE
keep_on aspect,V N,ATTRIBUTE
sustain aspect,V N,ATTRIBUTE
stay_fresh aspect,V N,ATTRIBUTE
celebrate aspect,V N,ATTRIBUTE
restrain aspect,V N,ATTRIBUTE
keep_back aspect,V N,ATTRIBUTE
hold_back aspect,V N,ATTRIBUTE
preserve aspect,V N,ATTRIBUTE
keep_open aspect,V N,ATTRIBUTE
hold_open aspect,V N,ATTRIBUTE
save aspect,V N,ATTRIBUTE
file transmission_channel,NM N,PARAMETER
file groove,NM N,PARAMETER
file communication_channel,NM N,PARAMETER
file line,NM N,PARAMETER
file duct,NM N,PARAMETER
file epithelial_duct,NM N,PARAMETER
file canal,NM N,PARAMETER
file television_channel,NM N,PARAMETER
file TV_channel,NM N,PARAMETER
file distribution_channel,NM N,PARAMETER
data_file channel,NM N,PARAMETER
single_file channel,NM N,PARAMETER
Indian_file channel,NM N,PARAMETER
file_cabinet channel,NM N,PARAMETER
filing_cabinet channel,NM N,PARAMETER
bt deformable physical_contact constraint,PRE NM NM N,CLASS
bt deformable impinging constraint,PRE NM NM N,CLASS
bt deformable striking constraint,PRE NM NM N,CLASS
bt deformable middleman constraint,PRE NM NM N,CLASS
bt deformable liaison constraint,PRE NM NM N,CLASS
bt deformable link constraint,PRE NM NM N,CLASS
bt deformable inter-group_communication constraint,PRE NM NM N,CLASS
bt deformable tangency constraint,PRE NM NM N,CLASS
bt deformable touch constraint,PRE NM NM N,CLASS
bt deformable contact restraint,PRE NM NM N,CLASS
non greedy DoS builder,NM NM NM N,DECLARATION
non greedy states detergent_builder,NM NM NM N,DECLARATION
non greedy states constructor,NM NM NM N,DECLARATION
scat methods,V NPL,FUNCTION
scarper methods,V NPL,FUNCTION
turn_tail methods,V NPL,FUNCTION
lam methods,V NPL,FUNCTION
run_away methods,V NPL,FUNCTION
hightail_it methods,V NPL,FUNCTION
bunk methods,V NPL,FUNCTION
head_for_the_hills methods,V NPL,FUNCTION
take_to_the_woods methods,V NPL,FUNCTION
escape methods,V NPL,FUNCTION
fly_the_coop methods,V NPL,FUNCTION
break_away methods,V NPL,FUNCTION
go methods,V NPL,FUNCTION
pass methods,V NPL,FUNCTION
lead methods,V NPL,FUNCTION
extend methods,V NPL,FUNCTION
operate methods,V NPL,FUNCTION
flow methods,V NPL,FUNCTION
feed methods,V NPL,FUNCTION
course methods,V NPL,FUNCTION
function methods,V NPL,FUNCTION
work methods,V NPL,FUNCTION
range methods,V NPL,FUNCTION
campaign methods,V NPL,FUNCTION
play methods,V NPL,FUNCTION
tend methods,V NPL,FUNCTION
be_given methods,V NPL,FUNCTION
lean methods,V NPL,FUNCTION
incline methods,V NPL,FUNCTION
prevail methods,V NPL,FUNCTION
persist methods,V NPL,FUNCTION
die_hard methods,V NPL,FUNCTION
endure methods,V NPL,FUNCTION
execute methods,V NPL,FUNCTION
carry methods,V NPL,FUNCTION
guide methods,V NPL,FUNCTION
draw methods,V NPL,FUNCTION
black_market methods,V NPL,FUNCTION
bleed methods,V NPL,FUNCTION
run_for methods,V NPL,FUNCTION
consort methods,V NPL,FUNCTION
ply methods,V NPL,FUNCTION
hunt methods,V NPL,FUNCTION
hunt_down methods,V NPL,FUNCTION
track_down methods,V NPL,FUNCTION
race methods,V NPL,FUNCTION
move methods,V NPL,FUNCTION
melt methods,V NPL,FUNCTION
melt_down methods,V NPL,FUNCTION
ladder methods,V NPL,FUNCTION
unravel methods,V NPL,FUNCTION
m transform alteration args,PRE NM NM NPL,ATTRIBUTE
m transform modification args,PRE NM NM NPL,ATTRIBUTE
m transform variety args,PRE NM NM NPL,ATTRIBUTE
end_product delegate private,NM N NM,CLASS
yield delegate private,NM N NM,CLASS
output_signal delegate private,NM N NM,CLASS
production delegate private,NM N NM,CLASS
outturn delegate private,NM N NM,CLASS
turnout delegate private,NM N NM,CLASS
output delegate buck_private,NM N NM,CLASS
output delegate common_soldier,NM N NM,CLASS
caplet variance curved_shape,NM NM N,CLASS
caplet variance curve_ball,NM NM N,CLASS
caplet variance breaking_ball,NM NM N,CLASS
caplet variance bender,NM NM N,CLASS
caplet variance curvature,NM NM N,CLASS
caplet variance bend,NM NM N,CLASS
caplet discrepancy curve,NM NM N,CLASS
caplet variant curve,NM NM N,CLASS
caplet division curve,NM NM N,CLASS
caplet disagreement curve,NM NM N,CLASS
caplet divergence curve,NM NM N,CLASS
caplet variability curve,NM NM N,CLASS
caplet variation curve,NM NM N,CLASS
c at ground color,PRE NM NM N,CLASS
c at background_knowledge color,PRE NM NM N,CLASS
c at background_signal color,PRE NM NM N,CLASS
c at setting color,PRE NM NM N,CLASS
c at scope color,PRE NM NM N,CLASS
c at desktop color,PRE NM NM N,CLASS
c at screen_background color,PRE NM NM N,CLASS
c at backdrop color,PRE NM NM N,CLASS
c at backcloth color,PRE NM NM N,CLASS
c astatine background color,PRE NM NM N,CLASS
c At background color,PRE NM NM N,CLASS
c atomic_number_85 background color,PRE NM NM N,CLASS
c at background colour,PRE NM NM N,CLASS
c at background coloring,PRE NM NM N,CLASS
c at background colouring,PRE NM NM N,CLASS
c at background coloration,PRE NM NM N,CLASS
c at background colouration,PRE NM NM N,CLASS
c at background people_of_color,PRE NM NM N,CLASS
c at background people_of_colour,PRE NM NM N,CLASS
c at background semblance,PRE NM NM N,CLASS
c at background coloring_material,PRE NM NM N,CLASS
c at background colouring_material,PRE NM NM N,CLASS
cache organic_structure unbuffered,NM N NM,DECLARATION
cache physical_structure unbuffered,NM N NM,DECLARATION
cache dead_body unbuffered,NM N NM,DECLARATION
cache torso unbuffered,NM N NM,DECLARATION
cache trunk unbuffered,NM N NM,DECLARATION
cache consistency unbuffered,NM N NM,DECLARATION
cache consistence unbuffered,NM N NM,DECLARATION
cache eubstance unbuffered,NM N NM,DECLARATION
cache soundbox unbuffered,NM N NM,DECLARATION
hoard body unbuffered,NM N NM,DECLARATION
stash body unbuffered,NM N NM,DECLARATION
memory_cache body unbuffered,NM N NM,DECLARATION
oauth school_term factory,NM NM N,CLASS
oauth academic_term factory,NM NM N,CLASS
oauth academic_session factory,NM NM N,CLASS
oauth seance factory,NM NM N,CLASS
oauth sitting factory,NM NM N,CLASS
oauth session mill,NM NM N,CLASS
oauth session manufacturing_plant,NM NM N,CLASS
oauth session manufactory,NM NM N,CLASS
rgb real_number,NM N,DECLARATION
set display index_number,V NM N,FUNCTION
set display indicant,V NM N,FUNCTION
set display indicator,V NM N,FUNCTION
set display exponent,V NM N,FUNCTION
set display power,V NM N,FUNCTION
set display index_finger,V NM N,FUNCTION
set display forefinger,V NM N,FUNCTION
put display index,V NM N,FUNCTION
place display index,V NM N,FUNCTION
pose display index,V NM N,FUNCTION
position display index,V NM N,FUNCTION
lay display index,V NM N,FUNCTION
determine display index,V NM N,FUNCTION
specify display index,V NM N,FUNCTION
define display index,V NM N,FUNCTION
fix display index,V NM N,FUNCTION
limit display index,V NM N,FUNCTION
mark display index,V NM N,FUNCTION
prepare display index,V NM N,FUNCTION
set_up display index,V NM N,FUNCTION
ready display index,V NM N,FUNCTION
gear_up display index,V NM N,FUNCTION
localize display index,V NM N,FUNCTION
localise display index,V NM N,FUNCTION
go_down display index,V NM N,FUNCTION
go_under display index,V NM N,FUNCTION
arrange display index,V NM N,FUNCTION
plant display index,V NM N,FUNCTION
jell display index,V NM N,FUNCTION
congeal display index,V NM N,FUNCTION
typeset display index,V NM N,FUNCTION
countersink display index,V NM N,FUNCTION
sic display index,V NM N,FUNCTION
rig display index,V NM N,FUNCTION
lay_out display index,V NM N,FUNCTION
adjust display index,V NM N,FUNCTION
correct display index,V NM N,FUNCTION
fructify display index,V NM N,FUNCTION
dress display index,V NM N,FUNCTION
do display index,V NM N,FUNCTION
coif display index,V NM N,FUNCTION
coiffe display index,V NM N,FUNCTION
coiffure display index,V NM N,FUNCTION
set show index,V NM N,FUNCTION
set exhibit index,V NM N,FUNCTION
set showing index,V NM N,FUNCTION
set presentation index,V NM N,FUNCTION
set video_display index,V NM N,FUNCTION
unregistered request matchmaker,NM NM N,ATTRIBUTE
unregistered request marriage_broker,NM NM N,ATTRIBUTE
unregistered petition matcher,NM NM N,ATTRIBUTE
unregistered postulation matcher,NM NM N,ATTRIBUTE
unregistered asking matcher,NM NM N,ATTRIBUTE
tiff get sizing proc,NM V NM N,FUNCTION
tiff get size_of_it proc,NM V NM N,FUNCTION
tiff acquire size proc,NM V NM N,FUNCTION
tiff become size proc,NM V NM N,FUNCTION
tiff go size proc,NM V NM N,FUNCTION
tiff let size proc,NM V NM N,FUNCTION
tiff have size proc,NM V NM N,FUNCTION
tiff receive size proc,NM V NM N,FUNCTION
tiff find size proc,NM V NM N,FUNCTION
tiff obtain size proc,NM V NM N,FUNCTION
tiff incur size proc,NM V NM N,FUNCTION
tiff arrive size proc,NM V NM N,FUNCTION
tiff come size proc,NM V NM N,FUNCTION
tiff bring size proc,NM V NM N,FUNCTION
tiff convey size proc,NM V NM N,FUNCTION
tiff fetch size proc,NM V NM N,FUNCTION
tiff experience size proc,NM V NM N,FUNCTION
tiff pay_back size proc,NM V NM N,FUNCTION
tiff pay_off size proc,NM V NM N,FUNCTION
tiff fix size proc,NM V NM N,FUNCTION
tiff make size proc,NM V NM N,FUNCTION
tiff induce size proc,NM V NM N,FUNCTION
tiff stimulate size proc,NM V NM N,FUNCTION
tiff cause size proc,NM V NM N,FUNCTION
tiff catch size proc,NM V NM N,FUNCTION
tiff capture size proc,NM V NM N,FUNCTION
